year,name,author,genre,price,quantity,url
1988,"Dirty Dozen: Next Mission, The",William Shakespeare,Science,5,20,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2002,Dominick and Eugene,J.K. Rowling,Children's,42,16,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1992,Public Enemies,Jane Austen,Science,88,71,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2001,Zero Kelvin (Kjærlighetens kjøtere),George Orwell,Travel,70,94,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2010,All Quiet on the Western Front,George Orwell,Technology,79,76,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2008,"Hangover Part III, The",George Orwell,Horror,95,40,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1994,Jonah Hex,J.K. Rowling,Fantasy,57,96,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1997,Smashed,Jane Austen,Science Fiction,10,1,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1988,"Oxford Murders, The",F. Scott Fitzgerald,Biography,39,37,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2011,Jack,William Shakespeare,Cookbooks,41,79,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2002,"Devil Came on Horseback, The",William Shakespeare,Cookbooks,6,45,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2006,All Night Long,Agatha Christie,Science Fiction,76,40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1985,Slaughter,Charles Dickens,Fantasy,74,56,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2005,"Crimson Rivers, The (Rivières pourpres, Les)",Harper Lee,Horror,47,76,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2008,Ginger Snaps,Harper Lee,Non-Fiction,43,83,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2012,Charlie Brown's Christmas Tales,Harper Lee,Travel,16,91,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2012,Heartbreak Hospital,Ernest Hemingway,Non-Fiction,17,43,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2000,Garbo the Spy (Garbo: El espía),Jane Austen,Cookbooks,26,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2012,Solitary Man,William Shakespeare,Mystery,51,50,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2013,Digging for Fire,J.R.R. Tolkien,Children's,77,42,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1991,Born to Fight,Agatha Christie,Self-Help,15,61,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1994,Restless Souls (Bag det stille ydre),Jane Austen,Biography,20,69,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2004,"Assassination of Jesse James by the Coward Robert Ford, The",Charles Dickens,Self-Help,12,81,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2005,Jurassic Park,J.K. Rowling,Science,71,29,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2013,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei),J.K. Rowling,Biography,10,60,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1984,Nitro Circus: The Movie,Harper Lee,Horror,47,35,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2012,300: Rise of an Empire,Jane Austen,Romance,82,24,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2011,Envy (Kiskanmak),Mark Twain,Cookbooks,88,42,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2010,Die! Die! My Darling! (Fanatic),Agatha Christie,Travel,49,39,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2004,Strike Up the Band,Stephen King,Cookbooks,45,62,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2009,Boston's Finest,Agatha Christie,Fiction,75,96,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2013,Sweet Sweetback's Baadasssss Song,Mark Twain,Children's,81,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1992,Torments (El) (This Strange Passion),Agatha Christie,Horror,53,44,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2008,Aaron Loves Angela,F. Scott Fitzgerald,Romance,18,35,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1986,DOA: Dead or Alive,Stephen King,Thriller,99,72,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1999,Sue,George Orwell,Fantasy,92,61,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1999,King of the Hill,J.K. Rowling,Autobiography,1,16,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1992,McLibel,George Orwell,Young Adult,9,67,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2006,Gangsters,J.K. Rowling,Science,32,85,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2006,"Island of Dr. Moreau, The",Virginia Woolf,Mystery,51,16,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2007,Madadayo (a.k.a. Not Yet),J.R.R. Tolkien,Children's,26,35,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1996,"Red Bear, A (Un oso rojo)",William Shakespeare,Mystery,58,71,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2008,"Frighteners, The",J.R.R. Tolkien,Travel,62,87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2006,Killshot,Stephen King,Technology,5,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1997,Monsters vs. Aliens,Mark Twain,Biography,2,35,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1987,Killer Klowns from Outer Space,F. Scott Fitzgerald,Cookbooks,96,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2010,Winter Passing,Agatha Christie,Autobiography,55,65,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2011,"Green Hornet, The",William Shakespeare,Romance,98,38,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1992,"Foreign Affair, A (2 Brothers & a Bride)",J.K. Rowling,Self-Help,80,47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,Good Bye (Bé omid é didar),Charles Dickens,Biography,13,46,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1998,Voyage to the Beginning of the World (Viagem ao Princípio do Mundo),Stephen King,Thriller,5,25,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2008,Foodfight!,William Shakespeare,Technology,87,65,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1990,47 Ronin,Ernest Hemingway,Fiction,81,27,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2003,"Passion of the Christ, The",William Shakespeare,Fantasy,46,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1988,Bloody New Year,Agatha Christie,Autobiography,13,78,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2009,Housesitter,Stephen King,Fiction,99,10,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2002,Hide-Out,Stephen King,Graphic Novels,28,47,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
